Grouping,CV R²,CV F1,Test R²,Test F1,Test AUROC
Ungrouped,0.6549 ± 0.1174,0.8905 ± 0.0520,0.3691,0.8034,0.9647
Grouped,0.1764 ± 0.1662,0.6765 ± 0.1889,0.0016,0.6253,0.7819
