Metric,Major (Mean),Major (Std),Minor (Mean),Minor (Std)
R2,0.6446504178378328,0.058085606059271995,0.2166275687841032,0.26680186180072907
MAE,0.37388349560891715,0.020378584754173045,0.4661599937250265,0.08802057223090241
RMSE,0.5109320592278853,0.022397801103124414,0.6442964246860491,0.10718681796351866
Accuracy,0.8106666666666665,0.03900997023554078,0.5578947368421053,0.14547657853773951
F1 Score,0.8042979250159252,0.035215544237723224,0.5422861236042757,0.12874559341652214
AUROC,,,,
