k,mj_mae_mean,mj_r2_mean,mj_acc_mean,mi_mae_mean,mi_r2_mean,mi_acc_mean,mj_mae_std,mj_r2_std,mj_acc_std,mi_mae_std,mi_r2_std,mi_acc_std
0,108.96283982640428,-0.8850009375497271,0.3538461538461538,26.48356522084727,-0.787426125295948,0.4564102564102564,26.632660791648416,0.30603582082627745,0.06363935203072235,14.78478685019682,0.1624137487571389,0.061538461538461535
1,108.67215163294414,-0.814212955011375,0.3487179487179487,26.422996730258546,-0.7367274251432241,0.45384615384615384,27.552425127808,0.38771008366502246,0.08363849451435944,14.891001081851426,0.13571250374589167,0.0716573774999083
2,108.93542975667897,-0.8577111413997368,0.37948717948717947,26.450254607179808,-0.7495257185502869,0.47435897435897445,27.47902135309685,0.25308051681272864,0.10986812966989,14.74241713172467,0.15999976008585523,0.07184064474934307
3,109.67767807535897,-0.8893183310952792,0.3641025641025641,26.383746637343044,-0.743120743726361,0.476923076923077,27.077718205527464,0.2859489715480486,0.08253065097144144,14.912400430602471,0.14457776835580463,0.07087320492864232
4,108.7341411371934,-0.6785103687208327,0.37692307692307697,26.585031285688366,-0.7761301765855873,0.4641025641025641,26.65433477903946,0.29967532386094076,0.09459418843947033,15.191729115889936,0.13491354335199102,0.07558668191273679
5,107.95865848654778,-0.6249723420070609,0.39230769230769225,26.416317737039368,-0.7649005043710682,0.482051282051282,27.910599444094245,0.3040275934543163,0.0716573774999083,14.829827495069187,0.1360058089488453,0.07589050557409611
6,106.78128308440432,-0.5541479285784079,0.4102564102564103,26.544852115885003,-0.7468697632113187,0.46923076923076923,27.701889848204903,0.3206954133249292,0.12350353414145945,14.687961953249758,0.18754966686770075,0.08661202950797199
8,106.07200709661666,-0.335732804529001,0.4282051282051281,26.354344775966883,-0.6860509104700527,0.4948717948717949,27.04856577850964,0.28410083103790496,0.0734694809327918,14.882438931209926,0.19345762453708615,0.08661202950797199
10,104.79416865695494,-0.3074361121375123,0.4,26.18376497684367,-0.6387590894404378,0.4871794871794872,27.47989866989342,0.3277785404254402,0.07794197001831109,14.770957564312779,0.23330881152713023,0.08026910688460785
15,105.16491109670012,-0.2694425190744603,0.4897435897435898,26.069857221145764,-0.5630765330129281,0.5051282051282051,27.077628592091823,0.33302654265000164,0.05433235923183868,15.121278210872026,0.2537643620732423,0.07696580010155711
20,101.11613341758161,-0.012628954464662168,0.5153846153846153,26.08416999365475,-0.5100309331938215,0.5230769230769232,25.65541627460148,0.18398691926347155,0.046508608069787315,14.875196724904972,0.21563781361853254,0.06089406198480983
30,97.88378659712944,0.11788981426045105,0.5871794871794873,25.068905094273678,-0.30054971882537285,0.5871794871794872,25.153088174208694,0.20027451402693294,0.1060001364543302,15.025894609709168,0.30687311879670137,0.08144810345778766
40,94.29442814626503,0.1973553045866311,0.6051282051282051,24.62722611663878,-0.1512216460984837,0.5974358974358973,23.057449881302663,0.2521172469545851,0.07360359022772986,14.898455421881932,0.2987050188139736,0.060731893755523146
50,91.79363736393667,0.31011996688914156,0.6692307692307693,24.1293308705847,-0.11512561502285931,0.6282051282051282,18.77828899844131,0.15701083047503314,0.06923076923076925,15.399249880178795,0.29371590346853543,0.0699863798151599
60,88.20425520996332,0.3840855259047958,0.7179487179487181,23.968067630617952,0.013834587199986936,0.6564102564102564,19.526715246354936,0.15190178163328405,0.07606357422662219,14.633963647944297,0.2982921555125713,0.08519614218377515
70,83.58347600864276,0.48723010035452685,0.735897435897436,22.837960121428573,0.21867792092156244,0.6743589743589744,21.956190938040535,0.12483818384060992,0.08508030781044645,15.173577098594075,0.3747475034155694,0.08959694979310844
80,80.96599269269504,0.47870687237918935,0.7384615384615385,22.132403274249334,0.22851738279067427,0.676923076923077,14.024865770186492,0.13017215921089656,0.09014561964742024,15.171266878517335,0.35758026684340916,0.08596438263712927
90,78.9934679272184,0.5392310089261687,0.7692307692307694,21.67669122553202,0.32473635182235644,0.7076923076923076,19.066145901607563,0.1690052619794055,0.08426500884694861,15.759972010247658,0.3959094162149501,0.0882289770978731
91,79.9445816011321,0.5262135667736134,0.7666666666666666,22.092342826115257,0.32723191240502036,0.7102564102564104,18.52166800569632,0.1270628489269332,0.07898934256794547,15.786570345071073,0.35865511425141516,0.08886012026237669
