R2,RMSE,MAE,Acc,F1,Prec,Rec,AUROC,Fold,Target
0.6053675069242749,0.521733282284113,0.38237842436896424,0.7866666666666666,0.7819550698239223,0.8027454027454028,0.7866666666666666,,1,Major
0.7147064408732209,0.48719007505088036,0.36875865652579165,0.7466666666666667,0.747978835978836,0.8,0.7466666666666667,,2,Major
0.6338331126301369,0.5165711357140923,0.3758861774639801,0.8266666666666667,0.8149737843855491,0.8086772486772487,0.8266666666666667,,3,Major
0.5636001445868937,0.5443276721463652,0.40249856125550976,0.84,0.8310590254119666,0.8278787878787878,0.84,,4,Major
0.7057448841746377,0.48483813094397543,0.33989565843034014,0.8533333333333334,0.8455229094793524,0.8438050682261208,0.8533333333333334,,5,Major
0.3976054798035721,0.5400637235380299,0.39737046023696077,0.6578947368421053,0.6647830101569713,0.6849415204678363,0.6578947368421053,,1,Minor
0.05292690978413461,0.804921772480446,0.6014161168071449,0.5526315789473685,0.49077028922230165,0.49358974358974356,0.5526315789473685,,2,Minor
-0.22038878491897052,0.7360371539645426,0.5412380334152646,0.2894736842105263,0.3245614035087719,0.41228070175438597,0.2894736842105263,,3,Minor
0.519479664016451,0.5438479111325014,0.39001488431553405,0.5789473684210527,0.5562994496044031,0.5990456911509543,0.5789473684210527,,4,Minor
0.3335145752353287,0.5966115623147255,0.4007604738502283,0.7105263157894737,0.6750164655289308,0.702078726227333,0.7105263157894737,,5,Minor
