System_ID,Composite,Active,Active_wt%,Support,Support_wt%,Cocatalyst,Cocatalyst_wt%,avg_band_gap,avg_cbm,avg_vbm,avg_energy_above_hull,avg_formation_energy_per_atom,avg_weighted_surface_energy,avg_weighted_work_function,avg_density,Active_is_gap_direct,Active_is_stable,Active_crystal_system
386,TiO2/nan/Bi2S3,TiO2,85.8,,3.552713678800501e-15,Bi2S3,14.2,2.1549351999999997,4.9398678,2.7849326,0.002609458995,-3.0661775153979587,,,4.459714922909269,False,False,Orthorhombic
387,CdS/nan/nan,CdS,100.0,,0.0,,0.0,1.0492,1.9171,0.8679,0.0027132225,-0.7738951664062481,,,4.70613765491418,True,False,Cubic
388,Bi2S3/nan/nan,Bi2S3,100.0,,0.0,,0.0,1.361799999999999,5.4726,4.1108,0.0,-0.414615469187504,,,6.602026285137526,False,True,Orthorhombic
389,TiO2/nan/Pt,TiO2,100.0,,0.0,Pt,,,4.8517,2.5655,,,,,,False,False,Orthorhombic
390,TiO2/nan/Pt,TiO2,100.0,,-0.21,Pt,0.21,2.281409041013871,4.8517,2.5655,0.0031797468331503866,-3.497524226766734,,,4.139483263921274,False,False,Orthorhombic
391,TiO2/nan/Pt,TiO2,100.0,,0.0,Pt,,,4.8517,2.5655,,,,,,False,False,Orthorhombic
392,TiO2/nan/Pt,TiO2,100.0,,0.0,Pt,,,4.8517,2.5655,,,,,,False,False,Orthorhombic
393,TiO2/nan/Pt,TiO2,100.0,,-1.34,Pt,1.34,2.2559700019735542,4.8517,2.5655,0.003914725953226774,-3.4577543602362777,,,4.3217335209988335,False,False,Orthorhombic
394,TiO2/nan/Pt,TiO2,100.0,,0.0,Pt,,,4.8517,2.5655,,,,,,False,False,Orthorhombic
395,TiO2/nan/Pt,TiO2,100.0,,-2.49,Pt,2.49,2.230656649429213,4.8517,2.5655,0.004646073766708972,-3.4181809844286706,,,4.5030833354076965,False,False,Orthorhombic
396,TiO2/nan/nan,TiO2,100.0,,0.0,,0.0,2.2862,4.8517,2.5655,0.0030413275,-3.505014124444444,,,4.105159895594103,False,False,Orthorhombic
